1 - PC1 (66.28%),1 - PC2 (21.91%),3 - PC1 (71.99%),3 - PC2 (9.84%)
114887.12302798514,78676.15706554662,0.6373549663561344,-0.053896241812768184
115208.42223031355,80059.0620858606,0.6584219842998291,-0.054849124236544186
115529.72143264186,81441.9671061746,0.6833019419297666,-0.05879282543846075
115769.17216266018,82333.92647516758,0.710722083343376,-0.06492911590927546
115831.35395589432,82162.58666248481,0.7395519724461586,-0.07294656566851641
115893.5357491284,81991.24684980216,0.7697364559603068,-0.08434397747279619
115444.34239153036,81540.26693551638,0.7997727571313924,-0.10065249810298758
113973.42562797821,80530.56836510032,0.826487766089764,-0.1227983455886683
112502.50886442604,79520.86979468442,0.8458079242990073,-0.14912544377797077
110685.67364113998,78395.23776455478,0.8556989733816838,-0.17525579676549619
108229.90517583852,77055.46931241993,0.8551530068006292,-0.19406767257382213
105774.1367105372,75715.7008602851,0.8461718300620082,-0.20085691930429922
103458.37576306933,74396.95928786676,0.8286533293329359,-0.18980286408553998
101382.11203131637,73114.186349313,0.8049592103015135,-0.16416403163197946
99305.84829956303,71831.41341075908,0.7756040211777824,-0.12553894790935
97515.3026158496,70619.78366503735,0.7430002193354952,-0.08143268759053494
96153.26605303808,69514.85178886895,0.7079686677586212,-0.0374064608964224
94791.22949022664,68409.91991270048,0.6716326386462204,0.0010162352026847482
93260.19766949488,67302.07479432492,0.6352674506848777,0.02982699935922785
91493.59579674633,66190.16877727893,0.6011833621307432,0.04759364835543535
89726.99392399804,65078.262760232916,0.5716977234852432,0.055372540805912265
88139.13021087695,64044.317347451346,0.5486680016171743,0.05537186003652357
86783.04023806627,63111.465181265114,0.5312047151521289,0.051217405810913566
85426.95026525563,62178.61301507887,0.5184541480838072,0.045342857427406305
84346.10143353524,61297.860613622644,0.5084881387919902,0.039390511504757766
83579.99995564927,60476.6860173563,0.5013458701805928,0.03386626196713628
82813.89847776321,59655.51142108998,0.49644554302075883,0.028744104791537786
82264.50024013566,59054.35938235649,0.4935014131213671,0.024171221775320842
81945.94591114901,58687.58716696802,0.49140031910929527,0.020305668673017876
81627.3915821624,58320.81495157954,0.48973820386111977,0.017323155883641764
80943.37905410097,57822.4415413735,0.48887073681693427,0.015152904545834914
79915.63564869996,57200.29092691258,0.48940484074304,0.013717438698133924
78887.8922432991,56578.140312451666,0.49147135990928903,0.012995561708781092
78704.52539409984,56314.65875882642,0.4944610856244913,0.01296350314913304
79260.97531313299,56365.43200479665,0.4981177983717433,0.013733079729747535
79817.42523216615,56416.205250766885,0.5026612836586355,0.015177945170553112
80441.18975014707,56576.710545022375,0.5088921936916118,0.01752861727165579
81116.96696737733,56822.00368789707,0.5163836566992666,0.020725514401587666
81792.74418460777,57067.29683077194,0.524377488466053,0.024851143448710825
82998.1269479083,57554.246328117035,0.5321424085757016,0.029530932114532407
84563.64799379678,58205.52511755732,0.5399892248892262,0.03439895057542021
86129.1690396853,58856.80390699764,0.5487061980271448,0.03909057568765785
88095.15105361196,59651.77187485095,0.5582052437307914,0.0432392479019781
90300.0285046406,60532.45778233763,0.566758265259401,0.04602389613850329
92504.90595566899,61413.143689824195,0.5723181214034605,0.04632327070081661
94413.48613061763,62304.52747989957,0.5727781836021137,0.04207261632127292
96167.69839046565,63201.484759725325,0.5686186466610079,0.032944826786191775
97921.9106503137,64098.4420395511,0.5596858831523093,0.018242165573906635
98884.76724251355,64576.05608700942,0.547899626403701,0.0005353501110834241
99489.72695585691,64864.01883080065,0.5347095151184498,-0.017972723259732468
100094.68666920024,65151.98157459183,0.5226919183440966,-0.03491197389883953
100601.76353910581,65360.445563425936,0.5142585378293447,-0.048772269327978665
101073.2102050786,65539.97131597645,0.510219823257158,-0.059280950732710544
101544.65687105137,65719.49706852697,0.5099493587532196,-0.06649616824092379
101151.20394696142,65355.943026099005,0.5118243551996389,-0.0707718827371263
100490.95275495462,64824.86346937367,0.5146515207379929,-0.07284525800703727
99830.70156294784,64293.7839126484,0.5183116457461734,-0.07322622790148801
96926.69964956435,62766.577711916776,0.5227459327493116,-0.07259489012800806
93492.27531607424,61003.887283720615,0.5275738927281279,-0.07108399808501535
90057.85098258413,59241.196855524395,0.5319088779240868,-0.06905235054470808
85985.86647082072,57097.71535274509,0.5353012014686649,-0.06667741096482337
81792.3662035401,54881.6569910292,0.5384176810879109,-0.06419092779297535
77598.86593625894,52665.59862931298,0.5420288715825856,-0.06145248363740928
75971.42328749063,51600.75396862728,0.5462736875625238,-0.05814573389347903
74679.17223033977,50686.28673904686,0.5506187843805315,-0.05401869352662013
73386.92117318888,49771.81950946644,0.5545518690462281,-0.04922338191294855
72077.29747429067,49042.326274673265,0.5581866946126011,-0.044208606007907866
70766.34638571688,48326.96632913413,0.5618480991605603,-0.03946975454518552
69455.39529714333,47611.60638359506,0.5652949599356105,-0.035223607506571705
69259.77989884866,47284.76329347826,0.5673812770548652,-0.031846263949045814
69110.47575640645,46974.05230031762,0.5675163555291294,-0.02958230783801062
68955.56703416294,46662.31865549217,0.565277930831805,-0.02924483936012022
67609.5622728463,46133.249119190645,0.5615168223421252,-0.030876794132103688
66263.55751152967,45604.17958288912,0.5565054022816773,-0.03451813821925441
65015.95599408391,45055.778190434285,0.5503953004252113,-0.039544252732062454
65668.65162440059,44134.053016529346,0.543230364022274,-0.04554984134607164
66321.34725471721,43212.32784262452,0.535627408872061,-0.05225478556316858
66773.33413254631,42447.85172979944,0.5283593386593102,-0.05941552014658612
65554.05624660499,42992.75954598239,0.5218205537675191,-0.06654850923290372
64334.77836066378,43537.667362165244,0.5157061018732223,-0.0730611990901701
63371.24837216387,44001.25222708151,0.5097265008320897,-0.07836813190188884
